Afganistan;Afghanistan
Afrika;Africa
Afrika Selatan;South Africa
Albania;Albania
Alderney ;Alderney 
Algeria;Algeria
Amerika;America
Amerika Latin;Latin America
Amerika Samoa;American Samoa
Amerika Serikat;United States of America
Andora;Andorra
Anglo-Norman;Anglo-Normandes 
Angola;Angola
Antiguan dan Barbuda;Antigua and Barbuda
Arab;Saudi Arabia
Argentina;Argentina
Armenia;Armenia
Aruba;Aruba
AS;USA
Atoll de Johnston;Atoll de Johnston
Atoll de Palmyra;Atoll de Palmyra
Australia;Australia
Austria;Austria
Azerbaijan;Azerbadjan
Bahama;Bahamas
Bahrain;Bahrain
Banglades;Bangladesh
Barbados;Barbados
Belanda;Netherlands
Belarus;Belarus
Belarusia;Belarus
Belgia;Belgium
Bermuda;Bermuda
Bhutan;Bhutan
Bolivia;Bolivia
Bosnia;Bosnia
Bosnia dan Herzegovina;Bosnia and Herzegovina
Bosnia-Herzegivina;Bosnia-Herzegovina
Botswana;Botswana
Brasil;Brasil
Brazil;Brazil
Britania;Britain
Britania Raya;Great Britain
British Virgin Islands;British Virgin Islands
Brunei;Brunei
Brunei Darussalam;Brunei Darussalam
Bulgaria;Bulgaria
Burkina;Burkina
Burkina Faso;Burkina Faso
Burma;Burma
Burundi;Burundi
Butan;Bhutan 
Cape Verde;Cape Verde
CapVert;CapVert
Cekoslovakia;Czechoslovakia
Chad;Chad
Chili;Chili
Cili;Chile
Cina;China
Cocos Islands;Cocos Islands
Costa Rica;Costa Rica
Denmark;Denmark
Dominika;Dominica
Ekuador;Ecuador
El Salvador;El Salvador
Emirat;Emirates
Equatorial Guinea;Equatorial Guinea
Estonia;Estonia
Ethiopia;Ethiopia
Etiopia;Ethiopia
Falkland Islands;Falkland Islands
Faroe Islands;Faroe Islands
Federasi Mikronesia;Federated States of Micronesia
Fiji;Fiji
Filipina;Philippines
Finlandia;Finland
Gabon;Gabon
Gambia;The Gambia
Gana;Ghana
Georgia;Georgia
Ghana;Ghana
Gibraltar;Gibraltar 
Greenland;Greenland
Grenada;Grenada
Guatemala;Guatemala
Guinea;Guinea
Guinea Ekuator;Equatorial Guinea
Guinea-Bissau;Guinea-Bissau
Guyana;Guyana
Haiti;Haiti
Holy See;Holy See
Honduras;Honduras
Hong Kong;Hong Kong
Hongkong;Hongkong
Hungaria;Hungary
Ile Clipperto;Ile Clipperto
Ile de la Reunion;Ile de la Reunion
Ile de Man ;Ile de Man 
Ile de Noel;Ile de Noel
Ile de Paque;Ile de Paque
Ile de Wake;Ile de Wake
Ile Europa;Ile Europa
Ile Howland;Ile Howland
Ile Jarvis;Ile Jarvis
Ile Juan de Nova;Ile Juan de Nova
Ile Navassa;Ile Navassa
Ile Norfolk;Ile Norfolk
Ile Tromelin;Ile Tromelin
Iles Ashmore et Cartier;Iles Ashmore et Cartier
Iles Baker et Howland;Iles Baker et Howland
Iles Bouvet ;Iles Bouvet 
Iles Caimans ;Iles Caimans 
Iles Cocos;Iles Cocos
Iles Cook ;Iles Cook 
Iles de la mer de  Corail ;Iles de la mer de  Corail 
Iles Feror ;Iles Feror 
Iles francaises;Iles francaises
Iles Glorieuses;Iles Glorieuses
Iles Heard et  McDonald ;Iles Heard et  McDonald 
Iles Malouines;Iles Malouines
Iles Marianne du nord ;Iles Marianne du nord 
Iles Marshall;Iles Marshall
Iles Midway ;Iles Midway 
Iles Pitcairn;Iles Pitcairn
Iles Salomon;Iles Salomon
Iles Spratly;Iles Spratly
Iles Turks et Caicos;Iles Turks et Caicos
Iles Vierges americaines;Iles Vierges americaines
Iles Vierges britanniques;Iles Vierges britanniques
India;India
Indonesia;Indonesia
Inggris;England
Inggris Raya;United Kingdom
Irak;Iraq
Iran;Iran
Irlandia;Ireland
Islandia;Iceland
Isle of Man;Isle of Man
Israel;Israel
Italia;Italy
Ivory Coast;Ivory Coast
Jalur Gaza;Gaza Strip
Jamaika;Jamaica
Jan Mayen;Jan Mayen
Jepang;Japan
Jerman;Germany
Jerman Barat;West Germany
Jerman Timur;East Germany
Jersey;Jersey
Jibouti;Djibouti
Jordania;Jordan
Kamboja;Cambodia
Kamerun;Cameroon
Kanada;Canada
Kazakhstan;Kazakhstan
Keeling Islands;Keeling Islands
Kenya;Kenya
Kepulauan Bahama;Bahamas
Kepulauan Bermuda;Bermuda
Kepulauan Cayman;Cayman Islands
Kingman Reef;Kingman Reef
Kirgiztan;Kirghizistan
Kiribati;Kiribati
Kolombia;Colombia
Kolumbia;Colombia
Komores;Comoros
Kongo;Congo
Korea Selatan;South Korea
Korea Utara;North Korea
Kosta Rika;Costa Rica
Kroasia;Croatia
Kuba;Cuba
Kuwait;Kuwait
Laos;Laos
Latvia;Latvia
Lebanon;Lebanon
Lesotho;Lesotho
Libanon;Lebanon
Liberia;Liberia
Libia;Libya
Libya;Libya
Liechtenstein;Liechtenstein
Lituania;Lithuania
Luxemburg;Luxembourg
Macau;Macau
Madagaskar;Madagascar
Makau;Macao 
Makedonia;Macedonia
Maladewa;Maldives
Malawi;Malawi
Malaysia;Malaysia
Maldives;Maldives
Mali;Mali
Malta;Malta
Maroko;Morocco
Marshall Islands;Marshall Islands
Mauritania;Mauritania
Mauritius;Mauritius
Meksiko;Mexico
Mesir;Egypt
Mexico;Mexico
Mikronesia;Micronesia
Moldova;Moldova
Monako;Monaco
Mongolia;Mongolia
Montenegro;Montenegro
Moroko;Morocco
Mozambik;Mozambique
Myanmar;Myanmar
Namibia;Namibia
Nauru;Nauru
nepal;Nepal
Niger;Niger
Nigeria;Nigeria
Nikaragua;Nicaragua
Normandes;Normandes
Norwegia;Norway
Oman;Oman
Pakistan;Pakistan
Palau;Palau
Palestina;Palestine
Panama;Panama
Papua;Papua
Papua Nugini;Papua New Guinea
Paraguay;Paraguay
Perancis;France
Perancis Guiana;French Guiana
Perancis Polynesia;French Polynesia
Peru;Peru
Polandia;Poland
Portugal;Portugal
Prancis;France
Prancis Guiana;French Guiana
Prancis Polynesia;French Southern and Antarctic Lands
Pulau Aland;Aland Islands
Pulau Cocos;Cocos Islands
Pulau Cook;Cook Islands
Pulau Falkland;Falkland Islands
Pulau Faroe;Faroe Islands
